worker_id,age,gender,city_tier,gig_platform,months_active,monthly_income,income_consistency_score,upi_transaction_count,average_transaction_value,monthly_inflow,monthly_outflow,savings_ratio,utility_bill_payment_rate,mobile_recharge_frequency,customer_rating,task_completion_rate,active_days_per_month,working_hours_per_week,account_balance_trend,previous_microloan_taken,previous_microloan_repaid,financial_stability_score,credit_risk_category
GW00001,27,Male,Tier1,Zomato,26,43976,97,39,594,49748,44849,12.3,92,2,4.6,100,21,20,Increasing,No,No,70.3,Low
GW00002,21,Male,Tier3,Zomato,3,14116,19,24,248,15804,15520,6.3,49,1,2.4,40,18,34,Decreasing,Yes,Yes,18.8,High
GW00003,20,Female,Tier1,Urban Company,6,49607,84,49,367,51766,49897,4.7,68,2,3.6,85,26,64,Stable,No,No,44.6,Medium
GW00004,26,Male,Tier2,Freelancer,27,29645,78,50,339,32781,26567,18,73,3,3.8,64,18,41,Stable,No,No,56.3,Medium
GW00005,35,Female,Tier2,Freelancer,25,32409,83,68,302,33581,26579,17.5,88,1,5,84,22,32,Increasing,No,No,72.9,Low
GW00006,34,Male,Tier2,Uber,15,34184,67,48,257,37626,29432,20.2,96,1,4.4,91,22,61,Increasing,Yes,Yes,79.7,Low
GW00007,30,Male,Tier1,Uber,15,51367,78,34,989,58818,50187,15.4,95,2,4.2,83,21,37,Increasing,Yes,Yes,73,Low
GW00008,28,Male,Tier2,Swiggy,1,21466,54,30,385,22592,20950,6.5,37,5,4.2,41,11,40,Stable,Yes,Yes,36.4,Medium
GW00009,29,Male,Tier3,Freelancer,18,20572,81,54,232,22078,17464,21,93,1,3.4,83,24,43,Stable,No,No,59.6,Low
GW00010,18,Male,Tier1,Freelancer,20,42431,64,35,699,44974,37922,17.2,57,4,3,79,18,41,Increasing,No,No,53.2,Medium
GW00011,47,Male,Tier1,Swiggy,18,48077,69,54,581,48796,43908,9.4,100,2,4.1,78,27,51,Decreasing,No,No,43.5,Medium
GW00012,37,Male,Tier2,Swiggy,16,18861,28,27,226,21551,20348,2.6,66,4,3.5,36,16,50,Decreasing,Yes,Yes,36,Medium
GW00013,20,Female,Tier2,Ola,17,18955,51,27,487,20055,17843,7.1,82,1,3.1,68,19,30,Stable,Yes,Yes,42.8,Medium
GW00014,27,Male,Tier3,Zomato,23,25171,80,24,683,28798,17823,37.6,89,3,4.7,88,22,34,Increasing,Yes,Yes,90.7,Low
GW00015,31,Female,Tier1,Freelancer,11,54158,85,65,264,60008,44724,28.2,100,3,4.2,83,25,61,Increasing,No,No,77.8,Low
GW00016,30,Male,Tier2,Uber,17,26917,73,58,186,27810,26043,8,73,3,4.5,91,23,48,Decreasing,Yes,Yes,45.9,Medium
GW00017,39,Male,Tier3,Uber,33,30008,59,54,285,32742,23969,24.8,96,1,4.5,99,24,47,Decreasing,Yes,Yes,70.8,Low
GW00018,25,Male,Tier3,Ola,4,21553,42,39,355,21847,18635,14.7,85,3,3.8,73,24,34,Decreasing,Yes,No,30,High
GW00019,26,Female,Tier1,Ola,25,41664,80,42,421,42886,24504,41.2,92,3,4.5,86,30,36,Increasing,No,No,91.5,Low
GW00020,45,Male,Tier1,Swiggy,46,46187,66,41,360,46923,34143,24.5,100,3,4.7,97,28,50,Increasing,Yes,Yes,83.8,Low
GW00021,30,Male,Tier3,Urban Company,39,20256,51,41,302,20452,17954,14.6,76,4,4.2,66,22,31,Decreasing,Yes,No,35.1,High
GW00022,37,Female,Tier1,Urban Company,55,51275,54,45,539,56033,47279,15,90,2,4.2,100,19,35,Increasing,Yes,Yes,69.4,Low
GW00023,27,Male,Tier1,Uber,39,43524,89,50,526,45283,36997,14.5,89,3,4,89,28,43,Increasing,Yes,Yes,73.6,Low
GW00024,34,Male,Tier1,Uber,16,52018,100,67,334,57925,46857,21.6,82,3,3.7,100,26,58,Increasing,Yes,Yes,78.3,Low
GW00025,34,Male,Tier2,Uber,57,39136,84,56,438,41106,36035,16,89,3,4.5,82,18,55,Increasing,No,No,66.5,Low
GW00026,30,Male,Tier1,Uber,13,36856,55,48,341,41668,38019,7.3,75,3,4,81,24,27,Stable,No,No,48.5,Medium
GW00027,46,Male,Tier1,Urban Company,56,59716,51,59,496,63671,51932,18.4,87,1,4.3,91,20,59,Decreasing,No,No,56.4,Medium
GW00028,39,Male,Tier2,Swiggy,22,18138,55,8,1530,19093,16413,16.2,87,4,3.4,65,24,37,Stable,Yes,No,43.7,Medium
GW00029,24,Female,Tier3,Zomato,10,20742,64,42,177,20868,16737,15.9,59,3,3.7,66,17,21,Decreasing,No,No,37,Medium
GW00030,24,Female,Tier1,Urban Company,36,58692,70,65,481,65122,52708,22.3,86,1,4.5,97,15,34,Stable,Yes,Yes,74.1,Low
GW00031,22,Male,Tier3,Zomato,12,22519,60,43,327,25817,23877,11.9,96,1,3.1,56,23,52,Decreasing,No,No,43.9,Medium
GW00032,32,Female,Tier2,Ola,47,33230,67,34,563,34528,28915,16.3,95,1,4.2,72,27,32,Increasing,No,No,69.1,Low
GW00033,34,Male,Tier1,Zomato,57,43698,84,78,263,47987,39578,17.8,93,3,4.5,73,24,44,Stable,Yes,Yes,67.8,Low
GW00034,22,Male,Tier1,Urban Company,10,34248,14,4,5000,37713,34534,8.6,47,1,2.4,79,9,22,Decreasing,No,No,22.6,High
